"	RD_SYM	I-VGF	",punc,,,,,,	o
/	RD_PUNC	I-VGF	/,punc,,,,,,	o
>	RD_PUNC	I-VGF	&gt;,punc,,,,,	o
<	RD_PUNC	B-NP	&lt;,punc,,,,,	o
மேட	N_NN	B-NP	metam,N,a-ADJ,,,,	o
நமே	PR_PRP	B-NP	nam,PN,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
நேத்ஸ்	N_NNP	I-NP	news,unk,,,,,,	o
_	RD_SYM	I-NP	_,punc,,,,,	o
கேய்தோர்dஸ்	N_NNP	B-NP	keywords,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
சோந்டேந்ட்	N_NNP	B-NP	content,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
ரஜிநிகந்ட்ஹ்	N_NNP	B-NP	rajinikanth,unk,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
போஏஸ்	N_NNP	B-NP	poes,unk,,,,,,	o
gஅர்dஏந்	N_NNP	I-NP	garden,unk,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
ரஜினிகாந்த்	N_NNP	B-NP	rajinYikAnw,N,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
போயஸ்	N_NNP	B-NP	poyas,N,,,,,	o
கார்டன்	N_NNP	I-NP	kArtanY,N,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
>	RD_PUNC	I-NP	&gt;,punc,,,,,	o
<	RD_PUNC	I-NP	&lt;,punc,,,,,	o
மேட	N_NN	B-NP	metam,N,a-ADJ,,,,	o
ப்ரோபேர்ட்ய்	N_NN	I-NP	property,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
ஓg	RP_INJ	I-NP	og,unk,,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	o
ஸிடே	N_NNP	B-NP	site,unk,,,,,,	o
_	RD_SYM	I-NP	_,punc,,,,,	o
நமே	PR_PRP	B-NP	nam,PN,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
சோந்டேந்ட்	N_NNP	B-NP	content,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
டமில்	N_NN	I-NP	tamil,unk,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	{/MCL}

ஙில்மிbஏஅட்	N_NNP	B-NP	filmibeat,unk,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

சோம்	V_VM_VF	B-NP	com,N,,,,,	{RP}
"	RD_SYM	I-NP	",punc,,,,,,	o
இடேம்ப்ரோப்	N_NN	I-NP	itemprop,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
"	RD_SYM	B-NP	",punc,,,,,,	o
ஸோஉர்சேஔர்gஅநிzஅடிஓந்	N_NNP	I-NP	sourceOrganization,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
>	RD_PUNC	I-NP	&gt;,punc,,,,,	o
<	RD_PUNC	I-NP	&lt;,punc,,,,,	o
மேட	N_NN	B-NP	metam,N,a-ADJ,,,,	o
ப்ரோபேர்ட்ய்	N_NN	I-NP	property,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
ஓg	RP_INJ	I-NP	og,unk,,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	o
ட்ய்பே	RD_RDF	B-NP	type,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
சோந்டேந்ட்	N_NNP	I-NP	content,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
"	RD_SYM	B-NP	",punc,,,,,,	o
அர்டிச்லே	N_NN	I-NP	article,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
>	RD_PUNC	I-NP	&gt;,punc,,,,,	o
<	RD_PUNC	I-NP	&lt;,punc,,,,,	o
மேட	N_NN	B-NP	metam,N,a-ADJ,,,,	o
ப்ரோபேர்ட்ய்	N_NN	I-NP	property,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
ஓg	RP_INJ	I-NP	og,unk,,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	o
டிட்லே	RD_RDF	B-NP	title,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
சோந்டேந்ட்	N_NNP	I-NP	content,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
"	RD_SYM	B-NP	",punc,,,,,,	o
போயஸ்	N_NNP	I-NP	poyas,N,,,,,	o
கார்டனில்	N_NNP	I-NP	kArtanY,N,il-LOC,,,,	o
ரஜினியை	N_NNP	B-NP	rajinYi,N,E-ACC,,,m,	o
சந்திக்கும்	V_VM_VNF_RP	B-VGNF	canwi,V,FUTURE,,,,RP	o
மலேசிய	N_NNP	B-NP	maleciyanY,N,a-ADJ,,,,	o
பிரதமர்	N_NN	I-NP	pirawamar,N,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	{/RP}
வீடு	N_NN	B-NP	vItu,N,,,,,	{RP}
தேடி	V_VM_VNF_VBN	B-VGNF	wetu,V,,,,,VBP	o
வரும்	V_VM_VNF_RP	I-VGNF	vA,V,FUTURE,,,,RP	o
பதவி	N_NN	B-NP	pawavi,N,,pl,,,	{MCL}
?	RD_PUNC	I-NP	?,punc,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
இடேம்ப்ரோப்	N_NN	I-NP	itemprop,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	{/RP}
"	RD_SYM	B-NP	",punc,,,,,,	o
ஹேஅdலிநே	N_NNP	I-NP	headline,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
>	RD_PUNC	I-NP	&gt;,punc,,,,,	o
<	RD_PUNC	I-NP	&lt;,punc,,,,,	o
மேட	N_NN	B-NP	metam,N,a-ADJ,,,,	o
ப்ரோபேர்ட்ய்	N_NN	I-NP	property,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
ஓg	RP_INJ	I-NP	og,unk,,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	o
dஏஸ்ச்ரிப்டிஓந்	N_NNP	B-NP	description,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
சோந்டேந்ட்	N_NNP	B-NP	content,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
"	RD_SYM	B-NP	",punc,,,,,,	o
ஆச்சோர்dஇந்g	N_NNP	I-NP	According,unk,,,,,,	o
டோ	N_NNP	I-NP	to,unk,,,,,,	o
ரேபோர்ட்ஸ்	N_NNP	I-NP	reports,unk,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
Mஅலய்ஸிஅந்	RD_ECH	B-VGF	Malaysian,unk,,,,,,	o
PM	RD_ECH	I-VGF	PM,unk,,,,,,	o
ணஜிb	RD_ECH	I-VGF	Najib,unk,,,,,,	o
ஷzஅக்	RD_ECH	I-VGF	Razak,unk,,,,,,	o
தில்ல்	RD_ECH	I-VGF	will,unk,,,,,,	o
மேஏட்	RD_ECH	I-VGF	meet,unk,,,,,,	o
ஸுபேர்ஸ்டர்	RD_ECH	I-VGF	superstar,unk,,,,,,	o
ஷஜிநிகந்ட்ஹ்	RD_ECH	I-VGF	Rajinikanth,unk,,,,,,	o
அட்	RD_ECH	I-VGF	A,N,a-ADJ,,,,	o
ஹிஸ்	RD_ECH	I-VGF	his,unk,,,,,,	o
Pஓஏஸ்	RD_ECH	I-VGF	Poes,unk,,,,,,	o
Gஅர்dஏந்	RD_ECH	I-VGF	Garden,unk,,,,,,	o
ரேஸிdஏந்சே	RD_ECH	I-VGF	residence,unk,,,,,,	o
dஉரிந்g	RD_ECH	I-VGF	during,N,,,,,	o
ஹிஸ்	RD_ECH	I-VGF	his,unk,,,,,,	o
5	RD_ECH	I-VGF	5,num,,,,,,	o
dஅய்	RD_ECH	I-VGF	day,unk,,,,,,	o
டோஉர்	RD_ECH	I-VGF	tour,unk,,,,,,	o
இந்	RD_ECH	I-VGF	in,unk,,,,,,	o
ஈந்dஇஅ	RD_ECH	I-VGF	India,unk,,,,,,	o
"	RD_SYM	I-VGF	",punc,,,,,,	o
இடேம்ப்ரோப்	N_NN	B-NP	itemprop,unk,,,,,,	o
=	RD_PUNC	I-NP	=,punc,,,,,	o
